epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,827.127,1.24686,1.85805,1.70446,0.63717,0.10526,0.06739,0.01695,2.62743,5.67034,5.27753,0.00332226,0.00332226,0.0700997
2,1665.53,1.25097,1.5183,1.69676,0.28418,0.6285,0.3115,0.14533,1.46958,3.17985,2.43196,0.00657323,0.00657323,0.0400173
3,2483.85,1.18831,1.36072,1.6506,0.72983,0.66606,0.79146,0.48157,1.28609,1.71476,2.10324,0.0097417,0.0097417,0.00985244
4,3284.46,1.13354,1.24231,1.58193,0.44891,0.22471,0.19246,0.07281,2.83297,2.70556,4.7213,0.00962875,0.00962875,0.00962875
5,4085.37,1.08787,1.18246,1.54941,0.75101,0.81243,0.88299,0.56599,1.2167,1.0682,2.13213,0.009505,0.009505,0.009505
6,4881.83,1.04463,1.07935,1.51257,0.8342,0.88417,0.93507,0.65419,1.03839,0.76521,1.77045,0.00938125,0.00938125,0.00938125
7,5675.45,1.01122,1.03089,1.48351,0.79879,0.84764,0.90333,0.52161,1.34305,1.09764,2.01596,0.0092575,0.0092575,0.0092575
8,6468.7,0.9857,0.9789,1.47397,0.80236,0.84049,0.9359,0.58879,1.33418,0.95587,2.12024,0.00913375,0.00913375,0.00913375
9,7262.3,0.95717,0.95121,1.43912,0.86572,0.87083,0.93628,0.64653,1.12332,0.76988,1.78921,0.00901,0.00901,0.00901
10,8055.26,0.94597,0.92388,1.43339,0.96466,0.90701,0.97189,0.70548,1.01389,0.58899,1.75653,0.00888625,0.00888625,0.00888625
11,8849.39,0.93397,0.90241,1.42529,0.88616,0.8304,0.93448,0.55753,1.47233,0.99639,2.08412,0.0087625,0.0087625,0.0087625
12,9643.45,0.94066,0.91058,1.4239,0.89801,0.91238,0.95428,0.65971,1.11143,0.70651,1.87924,0.00863875,0.00863875,0.00863875
13,10436.7,0.91169,0.87158,1.40904,0.57867,0.83534,0.82782,0.43645,1.58311,1.25857,2.39122,0.008515,0.008515,0.008515
14,11230.5,0.8905,0.83991,1.39076,0.9099,0.91007,0.96786,0.73824,0.92279,0.61116,1.6289,0.00839125,0.00839125,0.00839125
15,12026.7,0.87976,0.85077,1.38996,0.67721,0.86325,0.91646,0.63882,1.12367,1.0685,1.84857,0.0082675,0.0082675,0.0082675
16,12822.6,0.868,0.8115,1.37306,0.76516,0.71192,0.78097,0.42241,1.69994,1.1909,2.36626,0.00814375,0.00814375,0.00814375
17,13616.7,0.86135,0.80125,1.37039,0.96183,0.94467,0.98266,0.76017,0.85051,0.50548,1.527,0.00802,0.00802,0.00802
18,14411.1,0.85751,0.77666,1.36773,0.95884,0.94196,0.98126,0.74171,0.92515,0.54484,1.59055,0.00789625,0.00789625,0.00789625
